Year,LGA_name,LGA_code,0-19,20-64,65+,Total_population,Ratio: 65+ to 18+,Median_income,Total_EGMs,Venues,Unemployment_rate,Net_expenditure (AUD),EGMs_PV,People_PEGM,Expenditure_PP (AUD),Expenditure_PEGM (AUD),Expenditure_PV (AUD),EXP_PP_label
2015,Moorabool (S),25150,8760,18228,4508,31496,0.1982758620689655,47385,110,3,0.0565743737264772,7969313.899999999,36.666666666666664,206.6909090909091,350.5152137579169,72448.30818181818,2656437.9666666663,Low
2015,Moreland (C),25250,34652,109433,22685,166770,0.1717025689156663,47327,671,13,0.0745478809074594,63521371.65,51.61538461538461,196.89716840536514,480.7927129535718,94666.72377049181,4886259.357692308,Medium
2015,Mornington Peninsula (S),25340,36881,81875,36259,155015,0.3069311121269067,42104,821,17,0.0561597865200339,79400240.34,48.294117647058826,143.89037758830693,672.1201376403068,96711.62038976858,4670602.372941176,High
2015,Mount Alexander (S),25430,3767,10132,4231,18130,0.294576341989835,37342,30,1,0.0641854245598395,3215859.45,30.0,478.76666666666665,223.8988686207617,107195.315,3215859.45,Low
2015,Murrindindi (S),25620,2967,7716,3010,13693,0.2806265150102554,37269,25,1,0.0513779254950837,1442480.86,25.0,429.04,134.48451053514825,57699.2344,1442480.86,Very Low
2015,Nillumbik (S),25710,16999,37828,7775,62602,0.1704931693090366,50750,80,2,0.0275001998561036,7514346.44,40.0,570.0375,164.77745850053725,93929.33050000001,3757173.22,Very Low
2015,Northern Grampians (S),25810,2503,6252,2754,11509,0.3057961359093937,37539,78,3,0.0549257544307839,4777457.5200000005,26.0,115.46153846153847,530.4749633577616,61249.455384615394,1592485.84,Medium
2015,Port Phillip (C),25900,14897,80718,11512,107127,0.1248183888105822,58898,384,10,0.0502511120677285,28842530.39,38.4,240.18229166666666,312.72395522064403,75110.75622395833,2884253.039,Low
2015,Queenscliffe (B),26080,585,1367,1065,3017,0.4379111842105263,39762,30,1,0.0392628205128205,1439556.7100000004,30.0,81.06666666666666,591.9229893092107,47985.22366666668,1439556.7100000004,Medium
2015,South Gippsland (S),26170,6863,14584,6259,27706,0.3002926642038094,37184,105,4,0.0333105335157318,6592483.67,26.25,198.5047619047619,316.29245646020246,62785.55876190476,1648120.9175,Low
2015,Southern Grampians (S),26260,3974,8281,3496,15751,0.2968497919673941,38689,75,2,0.0543225015328019,6290788.230000001,37.5,157.02666666666667,534.1588036002379,83877.17640000001,3145394.1150000007,Medium
2015,Stonnington (C),26350,17989,74011,15941,107941,0.1772167378157239,60459,287,7,0.0404244015250953,23019972.590000004,41.0,313.42160278745644,255.91396066791182,80208.96372822301,3288567.5128571433,Low
2015,Strathbogie (S),26430,1971,5114,2741,9826,0.3489497135582431,37240,32,1,0.0520771218445637,1318809.1900000002,32.0,245.46875,167.89423169955444,41212.787187500006,1318809.1900000002,Very Low
2015,Surf Coast (S),26490,7966,16272,4703,28941,0.2242193087008343,42988,71,3,0.0383131008350291,2818479.72,23.666666666666668,295.4225352112676,134.3732882002384,39696.89746478874,939493.2400000001,Very Low
2015,Swan Hill (RC),26610,5480,11148,3781,20409,0.2532654564940719,40180,141,4,0.0492970439798125,6532534.529999999,35.25,105.87943262411348,437.57348315359366,46330.03212765957,1633133.6324999998,Medium
2015,Towong (S),26670,1371,2995,1396,5762,0.3179230243680255,39516,10,1,0.0576359492022142,318358.87,10.0,439.1,72.50258938738328,31835.887,318358.87,Very Low
2015,Wangaratta (RC),26700,6681,14710,5674,27065,0.2783555729984301,40796,136,4,0.0641736543143089,8128251.050000001,34.0,149.88235294117646,398.75642906200943,59766.5518382353,2032062.7625000002,Low
2015,Warrnambool (C),26730,8765,18986,5893,33644,0.2368664335383254,42180,234,8,0.0506840098676833,18222763.26,29.25,106.32051282051282,732.4556155794044,77875.05666666667,2277845.4075,High
2015,Wellington (S),26810,10462,23415,8088,41965,0.2567374535758499,41916,308,6,0.0459329248327798,21450507.97,51.333333333333336,102.28246753246754,680.9036590166015,69644.5063961039,3575084.6616666666,High
2015,Whitehorse (C),26980,37594,99167,28796,165557,0.225033798832475,45028,366,6,0.061380955150951,51581759.5,61.0,349.6256830601093,403.0990169033236,140933.76912568306,8596959.916666666,Medium
2015,Whittlesea (C),27070,53688,119936,21773,195397,0.1536458517101948,45287,660,10,0.0787391854496075,101646865.58,66.0,214.71060606060607,717.2929424383773,154010.40239393938,10164686.558,High
2015,Wodonga (RC),27170,11076,22214,5269,38559,0.1917185169013572,46643,144,4,0.0749881572714353,7472194.92,36.0,190.85416666666666,271.8842528108285,51890.2425,1868048.73,Low
2015,Wyndham (C),27260,63168,131502,15177,209847,0.1034708444971672,48103,891,13,0.0695694456723543,93116687.86,68.53846153846153,164.6228956228956,634.8331244418083,104508.06718294052,7162822.143076923,High
2015,Yarra (C),27350,12706,67222,9223,89151,0.1206488324939498,57519,308,8,0.0736273401181052,31084714.55,38.5,248.19805194805195,406.62848518542745,100924.3978896104,3885589.31875,Medium
2015,Yarra Ranges (S),27450,39136,89291,22234,150661,0.1993633714413808,44946,444,9,0.0553597721402882,28786766.8,49.333333333333336,251.18243243243242,258.1194064111186,64835.06036036036,3198529.6444444447,Low
2016,Alpine (S),20110,2747,6874,2957,12578,0.3007832367002339,36669,58,2,0.0374144486692015,2232436.02,29.0,169.5,227.0812755569118,38490.27620689655,1116218.01,Low
2016,Ararat (RC),20260,2489,6661,2595,11745,0.2803586862575626,39668,88,2,0.0702836004932182,4937199.99,44.0,105.18181818181819,533.4053576058773,56104.54534090909,2468599.995,Medium
2016,Ballarat (C),20570,27044,59244,17212,103500,0.2251229465313383,44953,663,15,0.0650960465026754,54611247.31999999,44.2,115.31825037707391,714.2833436224756,82369.90546003016,3640749.821333333,High
2016,Banyule (C),20660,30497,75473,21477,127447,0.2215265600825167,51515,634,10,0.0369648368850885,55979946.78000001,63.4,152.9179810725552,577.4104876740589,88296.44602523661,5597994.678000001,Medium
2016,Bass Coast (S),20740,7207,17258,8999,33464,0.3427276535780935,35998,216,5,0.0831272970263949,16321155.47,43.2,121.56018518518519,621.5925456068858,75560.9049537037,3264231.094,High
2016,Baw Baw (S),20830,12743,26989,9564,49296,0.2616474707958307,41961,198,4,0.0536310087737364,14661092.830000002,49.5,184.61111111111111,401.0913695182339,74045.9233838384,3665273.2075000005,Medium
2016,Bayside (C),20910,26058,57609,19245,102912,0.2504098680615192,58909,208,5,0.032334502574819,13615020.660000004,41.6,369.49038461538464,177.1543531891639,65456.83009615386,2723004.1320000007,Very Low
2016,Benalla (RC),21010,3061,7426,3495,13982,0.3200256386777768,38821,105,3,0.0570315760189177,5265158.930000001,35.0,104.00952380952381,482.1132616060801,50144.37076190477,1755052.9766666668,Medium
2016,Boroondara (C),21110,43257,106340,27679,177276,0.2065304173288862,57306,162,4,0.0388200317390168,19997261.390000004,40.5,827.2777777777778,149.21213701042393,123439.88512345681,4999315.347500001,Very Low
2016,Brimbank (C),21180,50908,126447,26835,204190,0.1750694797823619,42978,939,15,0.1001664950388328,143045743.48,62.6,163.23961661341852,933.2194483370519,152338.3849627263,9536382.898666667,Very High
2016,Campaspe (S),21370,9315,20031,8249,37595,0.2916902404526167,39782,209,4,0.0424591343682533,8364721.08,52.25,135.311004784689,295.782216407355,40022.58889952153,2091180.27,Low
2016,Cardinia (S),21450,29307,57096,11170,97573,0.1636246447719216,47316,286,5,0.0700191089208488,25041008.45,57.2,238.69230769230768,366.81522939677143,87555.9736013986,5008201.6899999995,Low
2016,Casey (C),21610,93179,188380,31230,312789,0.1422066390419379,46719,899,13,0.0797059735199043,124817967.32999998,69.15384615384616,244.2825361512792,568.361947679978,138840.8980311457,9601382.10230769,Medium
